WikidataURI,EventName,StartDate,EndDate,EventType,City,Attendance
,Manchester Jazz Festival,2014-07-03 00:00:00.000,2014-07-06 00:00:00.000,Fictitious,Manchester,39454
,Manchester International Festival,2014-07-22 00:00:00.000,2014-07-28 00:00:00.000,Fictitious,Manchester,124419
,Manchester Pride,2014-08-03 00:00:00.000,2014-08-10 00:00:00.000,Fictitious,Manchester,78449
,Manchester Food and Drink Festival,2014-09-16 00:00:00.000,2014-09-23 00:00:00.000,Fictitious,Manchester,45857
,Manchester Literary Festival,2014-10-06 00:00:00.000,2014-10-13 00:00:00.000,Fictitious,Manchester,14777
,Manchester Science Festival,2014-10-07 00:00:00.000,2014-10-14 00:00:00.000,Fictitious,Manchester,65250
,Manchester International Fireworks Competition,2014-11-21 00:00:00.000,2014-11-28 00:00:00.000,Fictitious,Manchester,24541
,Manchester Christmas Markets,2014-11-25 00:00:00.000,2014-11-28 00:00:00.000,Fictitious,Manchester,552288
,Manchester Half Marathon,2015-05-03 00:00:00.000,2015-05-04 00:00:00.000,Fictitious,Manchester,16264
,Parklife Festival Manchester,2015-06-05 00:00:00.000,2015-06-08 00:00:00.000,Fictitious,Manchester,75629
,Manchester International Festival,2015-07-21 00:00:00.000,2015-07-28 00:00:00.000,Fictitious,Manchester,108434
,Manchester Jazz Festival,2015-07-28 00:00:00.000,2015-07-28 00:00:00.000,Fictitious,Manchester,43417
,Manchester Pride,2015-08-19 00:00:00.000,2015-08-26 00:00:00.000,Fictitious,Manchester,81252
,Manchester Food and Drink Festival,2015-09-10 00:00:00.000,2015-09-17 00:00:00.000,Fictitious,Manchester,46612
,Manchester Science Festival,2015-10-02 00:00:00.000,2015-10-09 00:00:00.000,Fictitious,Manchester,55170
,Manchester Literary Festival,2015-10-18 00:00:00.000,2015-10-25 00:00:00.000,Fictitious,Manchester,15732
,Manchester Christmas Markets,2015-11-01 00:00:00.000,2015-11-08 00:00:00.000,Fictitious,Manchester,494994
,Manchester International Fireworks Competition,2015-11-09 00:00:00.000,2015-11-16 00:00:00.000,Fictitious,Manchester,22264
,Manchester Half Marathon,2016-05-03 00:00:00.000,2016-05-04 00:00:00.000,Fictitious,Manchester,15342
,Parklife Festival Manchester,2016-06-20 00:00:00.000,2016-06-23 00:00:00.000,Fictitious,Manchester,74444
,Manchester Jazz Festival,2016-07-04 00:00:00.000,2016-07-07 00:00:00.000,Fictitious,Manchester,35685
,Manchester International Festival,2016-07-13 00:00:00.000,2016-07-20 00:00:00.000,Fictitious,Manchester,126572
,Manchester Pride,2016-08-11 00:00:00.000,2016-08-18 00:00:00.000,Fictitious,Manchester,88346
,Manchester Food and Drink Festival,2016-09-02 00:00:00.000,2016-09-09 00:00:00.000,Fictitious,Manchester,50950
,Manchester Science Festival,2016-10-01 00:00:00.000,2016-10-08 00:00:00.000,Fictitious,Manchester,66988
,Manchester Literary Festival,2016-10-20 00:00:00.000,2016-10-27 00:00:00.000,Fictitious,Manchester,16741
,Manchester International Fireworks Competition,2016-11-11 00:00:00.000,2016-11-18 00:00:00.000,Fictitious,Manchester,26626
,Manchester Christmas Markets,2016-11-19 00:00:00.000,2016-11-26 00:00:00.000,Fictitious,Manchester,559531
,Oxford Literary Festival,2010-03-20 00:00:00.000,2010-03-27 00:00:00.000,Fictitious,Oxford,26538
,May Morning Oxford,2010-05-06 00:00:00.000,2010-05-13 00:00:00.000,Fictitious,Oxford,12558
,Cowley Road Carnival,2010-06-08 00:00:00.000,2010-06-11 00:00:00.000,Fictitious,Oxford,16281
,Oxfordshire Arts Week,2010-06-26 00:00:00.000,2010-06-28 00:00:00.000,Fictitious,Oxford,28122
,Oxford Pride,2010-07-28 00:00:00.000,2010-07-28 00:00:00.000,Fictitious,Oxford,13451
,Creation Records Exhibition Oxford,2010-08-16 00:00:00.000,2010-08-23 00:00:00.000,Fictitious,Oxford,5337
,Oxford Folk Festival,2010-09-17 00:00:00.000,2010-09-20 00:00:00.000,Fictitious,Oxford,8893
,Oxford Beer Festival,2010-09-28 00:00:00.000,2010-09-28 00:00:00.000,Fictitious,Oxford,10098
,Oxford Half Marathon,2010-10-23 00:00:00.000,2010-10-24 00:00:00.000,Fictitious,Oxford,4750
,Oxford Christmas Market,2010-11-16 00:00:00.000,2010-11-23 00:00:00.000,Fictitious,Oxford,108766
,Oxford Literary Festival,2011-03-21 00:00:00.000,2011-03-28 00:00:00.000,Fictitious,Oxford,24652
,May Morning Oxford,2011-05-01 00:00:00.000,2011-05-08 00:00:00.000,Fictitious,Oxford,10692
,Oxfordshire Arts Week,2011-06-06 00:00:00.000,2011-06-13 00:00:00.000,Fictitious,Oxford,28637
,Cowley Road Carnival,2011-06-14 00:00:00.000,2011-06-17 00:00:00.000,Fictitious,Oxford,13357
,Oxford Pride,2011-07-25 00:00:00.000,2011-07-28 00:00:00.000,Fictitious,Oxford,16044
,Creation Records Exhibition Oxford,2011-08-09 00:00:00.000,2011-08-16 00:00:00.000,Fictitious,Oxford,4806
,Oxford Folk Festival,2011-09-11 00:00:00.000,2011-09-14 00:00:00.000,Fictitious,Oxford,8709
,Oxford Beer Festival,2011-09-20 00:00:00.000,2011-09-27 00:00:00.000,Fictitious,Oxford,8964
,Oxford Half Marathon,2011-10-23 00:00:00.000,2011-10-24 00:00:00.000,Fictitious,Oxford,4728
,Oxford Christmas Market,2011-11-15 00:00:00.000,2011-11-22 00:00:00.000,Fictitious,Oxford,100925
,Oxford Literary Festival,2012-03-02 00:00:00.000,2012-03-09 00:00:00.000,Fictitious,Oxford,23221
,May Morning Oxford,2012-05-26 00:00:00.000,2012-05-28 00:00:00.000,Fictitious,Oxford,10721
,Oxfordshire Arts Week,2012-06-01 00:00:00.000,2012-06-08 00:00:00.000,Fictitious,Oxford,30376
,Cowley Road Carnival,2012-06-24 00:00:00.000,2012-06-27 00:00:00.000,Fictitious,Oxford,14902
,Oxford Pride,2012-07-14 00:00:00.000,2012-07-21 00:00:00.000,Fictitious,Oxford,14423
,Creation Records Exhibition Oxford,2012-08-23 00:00:00.000,2012-08-28 00:00:00.000,Fictitious,Oxford,4876
,Oxford Beer Festival,2012-09-21 00:00:00.000,2012-09-28 00:00:00.000,Fictitious,Oxford,10442
,Oxford Folk Festival,2012-09-28 00:00:00.000,2012-09-28 00:00:00.000,Fictitious,Oxford,8662
,Oxford Half Marathon,2012-10-27 00:00:00.000,2012-10-28 00:00:00.000,Fictitious,Oxford,4978
,Oxford Christmas Market,2012-11-12 00:00:00.000,2012-11-19 00:00:00.000,Fictitious,Oxford,95978
,Oxford Literary Festival,2013-03-18 00:00:00.000,2013-03-25 00:00:00.000,Fictitious,Oxford,22786
,May Morning Oxford,2013-05-12 00:00:00.000,2013-05-19 00:00:00.000,Fictitious,Oxford,11639
,Oxfordshire Arts Week,2013-06-03 00:00:00.000,2013-06-10 00:00:00.000,Fictitious,Oxford,28017
,Cowley Road Carnival,2013-06-26 00:00:00.000,2013-06-28 00:00:00.000,Fictitious,Oxford,14572
,Oxford Pride,2013-07-26 00:00:00.000,2013-07-28 00:00:00.000,Fictitious,Oxford,15027
,Creation Records Exhibition Oxford,2013-08-03 00:00:00.000,2013-08-10 00:00:00.000,Fictitious,Oxford,5422
,Oxford Folk Festival,2013-09-04 00:00:00.000,2013-09-07 00:00:00.000,Fictitious,Oxford,8049
,Oxford Beer Festival,2013-09-10 00:00:00.000,2013-09-17 00:00:00.000,Fictitious,Oxford,11193
,Oxford Half Marathon,2013-10-16 00:00:00.000,2013-10-17 00:00:00.000,Fictitious,Oxford,4692
,Oxford Christmas Market,2013-11-25 00:00:00.000,2013-11-28 00:00:00.000,Fictitious,Oxford,101042
,Oxford Literary Festival,2014-03-10 00:00:00.000,2014-03-17 00:00:00.000,Fictitious,Oxford,24628
,May Morning Oxford,2014-05-05 00:00:00.000,2014-05-12 00:00:00.000,Fictitious,Oxford,11263
,Cowley Road Carnival,2014-06-22 00:00:00.000,2014-06-25 00:00:00.000,Fictitious,Oxford,16052
,Oxfordshire Arts Week,2014-06-27 00:00:00.000,2014-06-28 00:00:00.000,Fictitious,Oxford,32973
,Oxford Pride,2014-07-27 00:00:00.000,2014-07-28 00:00:00.000,Fictitious,Oxford,13209
,Creation Records Exhibition Oxford,2014-08-28 00:00:00.000,2014-08-28 00:00:00.000,Fictitious,Oxford,5209
,Oxford Folk Festival,2014-09-15 00:00:00.000,2014-09-18 00:00:00.000,Fictitious,Oxford,7069
,Oxford Beer Festival,2014-09-24 00:00:00.000,2014-09-28 00:00:00.000,Fictitious,Oxford,9016
,Oxford Half Marathon,2014-10-18 00:00:00.000,2014-10-19 00:00:00.000,Fictitious,Oxford,4573
,Oxford Christmas Market,2014-11-15 00:00:00.000,2014-11-22 00:00:00.000,Fictitious,Oxford,110388
,Oxford Literary Festival,2015-03-23 00:00:00.000,2015-03-28 00:00:00.000,Fictitious,Oxford,24908
,May Morning Oxford,2015-05-14 00:00:00.000,2015-05-21 00:00:00.000,Fictitious,Oxford,12189
,Oxfordshire Arts Week,2015-06-15 00:00:00.000,2015-06-22 00:00:00.000,Fictitious,Oxford,33218
,Cowley Road Carnival,2015-06-21 00:00:00.000,2015-06-24 00:00:00.000,Fictitious,Oxford,16730
,Oxford Pride,2015-07-24 00:00:00.000,2015-07-28 00:00:00.000,Fictitious,Oxford,14274
,Creation Records Exhibition Oxford,2015-08-18 00:00:00.000,2015-08-25 00:00:00.000,Fictitious,Oxford,4856
,Oxford Beer Festival,2015-09-04 00:00:00.000,2015-09-11 00:00:00.000,Fictitious,Oxford,10624
,Oxford Folk Festival,2015-09-05 00:00:00.000,2015-09-08 00:00:00.000,Fictitious,Oxford,7827
,Oxford Half Marathon,2015-10-07 00:00:00.000,2015-10-08 00:00:00.000,Fictitious,Oxford,5506
,Oxford Christmas Market,2015-11-28 00:00:00.000,2015-11-28 00:00:00.000,Fictitious,Oxford,92527
,Oxford Literary Festival,2016-03-01 00:00:00.000,2016-03-08 00:00:00.000,Fictitious,Oxford,27838
,May Morning Oxford,2016-05-26 00:00:00.000,2016-05-28 00:00:00.000,Fictitious,Oxford,11078
,Cowley Road Carnival,2016-06-16 00:00:00.000,2016-06-19 00:00:00.000,Fictitious,Oxford,16673
,Oxfordshire Arts Week,2016-06-21 00:00:00.000,2016-06-28 00:00:00.000,Fictitious,Oxford,32391
,Oxford Pride,2016-07-19 00:00:00.000,2016-07-26 00:00:00.000,Fictitious,Oxford,15287
,Creation Records Exhibition Oxford,2016-08-11 00:00:00.000,2016-08-18 00:00:00.000,Fictitious,Oxford,5152
,Oxford Folk Festival,2016-09-21 00:00:00.000,2016-09-24 00:00:00.000,Fictitious,Oxford,8902
,Oxford Beer Festival,2016-09-23 00:00:00.000,2016-09-28 00:00:00.000,Fictitious,Oxford,10894
,Oxford Half Marathon,2016-10-17 00:00:00.000,2016-10-18 00:00:00.000,Fictitious,Oxford,5295
,Oxford Christmas Market,2016-11-23 00:00:00.000,2016-11-28 00:00:00.000,Fictitious,Oxford,93731
http://www.wikidata.org/entity/Q12723354,2010 European Women's Artistic Gymnastics Championships,2010-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,Birmingham,6500
http://www.wikidata.org/entity/Q2093779,2010 European Men's Artistic Gymnastics Championships,2010-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,Birmingham,7200
http://www.wikidata.org/entity/Q2954531,2010 European Artistic Gymnastics Championships,2010-04-21 00:00:00.000,2010-05-02 00:00:00.000,Sports,Birmingham,12000
http://www.wikidata.org/entity/Q2955685,2011 Trampoline World Championships,2011-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,Birmingham,5000
http://www.wikidata.org/entity/Q3631116,2011 Birmingham Grand Prix,2011-08-26 00:00:00.000,2099-12-31 00:00:00.000,Sports,Birmingham,19000
http://www.wikidata.org/entity/Q733526,2012 UCI BMX World Championships,2012-01-01 00:00:00.000,2012-05-27 00:00:00.000,Sports,Birmingham,22000
http://www.wikidata.org/entity/Q2502735,2012 FA Community Shield,2012-08-12 00:00:00.000,2099-12-31 00:00:00.000,Sports,Birmingham,78000
http://www.wikidata.org/entity/Q9162952,2012 British Grand Prix,2012-08-26 00:00:00.000,2099-12-31 00:00:00.000,Sports,Birmingham,20000
http://www.wikidata.org/entity/Q124044088,Recent Appointees in Polymer Science 2012,2012-09-12 00:00:00.000,2012-09-12 00:00:00.000,Sports,Birmingham,200
http://www.wikidata.org/entity/Q14329777,2013 British Grand Prix,2013-06-30 00:00:00.000,2099-12-31 00:00:00.000,Sports,Birmingham,20000
http://www.wikidata.org/entity/Q16530764,2014 British Grand Prix,2014-08-24 00:00:00.000,2099-12-31 00:00:00.000,Sports,Birmingham,20000
http://www.wikidata.org/entity/Q24251370,2016 Birmingham Grand Prix,2016-06-05 00:00:00.000,2099-12-31 00:00:00.000,Sports,Birmingham,19000
http://www.wikidata.org/entity/Q21995530,2016 British Artistic Gymnastics Championships,2016-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,Liverpool,8000
http://www.wikidata.org/entity/Q476638,2010 Wimbledon Championships,2010-06-21 00:00:00.000,2010-07-04 00:00:00.000,Sports,London,490000
http://www.wikidata.org/entity/Q245073,2011 Wimbledon Championships,2011-06-20 00:00:00.000,2011-07-03 00:00:00.000,Sports,London,490000
http://www.wikidata.org/entity/Q58819280,4th International SWAT4LS conference,2011-12-07 00:00:00.000,2011-12-07 00:00:00.000,Sports,London,400
http://www.wikidata.org/entity/Q280865,2012 FINA Diving World Cup,2012-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,8000
http://www.wikidata.org/entity/Q284435,gymnastics at the 2012 Summer Olympics — women's artistic team all-around,2012-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,18000
http://www.wikidata.org/entity/Q374383,tennis at the 2012 Summer Olympics — men's doubles,2012-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,30000
http://www.wikidata.org/entity/Q829370,tennis at the 2012 Summer Olympics — women's singles,2012-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,30000
http://www.wikidata.org/entity/Q840683,tennis at the 2012 Summer Olympics — mixed doubles,2012-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,30000
http://www.wikidata.org/entity/Q841622,tennis at the 2012 Summer Olympics — women's doubles,2012-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,30000
http://www.wikidata.org/entity/Q916174,cycling at the 2012 Summer Olympics — men's road time trial,2012-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,180000
http://www.wikidata.org/entity/Q3764536,2012 Gymnastics Olympic Test Event,2012-01-10 00:00:00.000,2012-01-18 00:00:00.000,Sports,London,9000
http://www.wikidata.org/entity/Q289587,2012 Wimbledon Championships,2012-06-25 00:00:00.000,2012-07-08 00:00:00.000,Sports,London,490000
http://www.wikidata.org/entity/Q721620,football at the 2012 Summer Olympics — women's tournament,2012-07-25 00:00:00.000,2012-08-09 00:00:00.000,Sports,London,70000
http://www.wikidata.org/entity/Q47608,football at the 2012 Summer Olympics — men's tournament,2012-07-26 00:00:00.000,2012-08-11 00:00:00.000,Sports,London,70000
http://www.wikidata.org/entity/Q775427,handball at the 2012 Summer Olympics — women's tournament,2012-07-27 00:00:00.000,2012-08-11 00:00:00.000,Sports,London,22000
http://www.wikidata.org/entity/Q1140736,badminton at the 2012 Summer Olympics — men's singles,2012-07-28 00:00:00.000,2012-08-05 00:00:00.000,Sports,London,15000
http://www.wikidata.org/entity/Q1337276,badminton at the 2012 Summer Olympics — men's doubles,2012-07-28 00:00:00.000,2012-08-05 00:00:00.000,Sports,London,15000
http://www.wikidata.org/entity/Q1345726,badminton at the 2012 Summer Olympics — women's singles,2012-07-28 00:00:00.000,2012-08-04 00:00:00.000,Sports,London,15000
http://www.wikidata.org/entity/Q1414502,badminton at the 2012 Summer Olympics — mixed doubles,2012-07-28 00:00:00.000,2012-08-03 00:00:00.000,Sports,London,15000
http://www.wikidata.org/entity/Q1464256,badminton at the 2012 Summer Olympics — women's doubles,2012-07-28 00:00:00.000,2012-08-04 00:00:00.000,Sports,London,15000
http://www.wikidata.org/entity/Q265038,volleyball at the 2012 Summer Olympics — women's tournament,2012-07-28 00:00:00.000,2012-08-11 00:00:00.000,Sports,London,25000
http://www.wikidata.org/entity/Q30822,tennis at the 2012 Summer Olympics,2012-07-28 00:00:00.000,2012-08-05 00:00:00.000,Sports,London,30000
http://www.wikidata.org/entity/Q426154,handball at the 2012 Summer Olympics — men's tournament,2012-07-28 00:00:00.000,2012-08-12 00:00:00.000,Sports,London,22000
http://www.wikidata.org/entity/Q581788,tennis at the 2012 Summer Olympics — men's singles,2012-07-28 00:00:00.000,2012-08-05 00:00:00.000,Sports,London,30000
http://www.wikidata.org/entity/Q655463,basketball at the 2012 Summer Olympics — women's tournament,2012-07-28 00:00:00.000,2012-08-11 00:00:00.000,Sports,London,35000
http://www.wikidata.org/entity/Q754412,cycling at the 2012 Summer Olympics — men's road race,2012-07-28 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,180000
http://www.wikidata.org/entity/Q749036,basketball at the 2012 Summer Olympics — men's tournament,2012-07-29 00:00:00.000,2012-08-12 00:00:00.000,Sports,London,35000
http://www.wikidata.org/entity/Q843287,cycling at the 2012 Summer Olympics — women's road race,2012-07-29 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,180000
http://www.wikidata.org/entity/Q843441,volleyball at the 2012 Summer Olympics — men's tournament,2012-07-29 00:00:00.000,2012-08-12 00:00:00.000,Sports,London,25000
http://www.wikidata.org/entity/Q848659,water polo at the 2012 Summer Olympics — men's tournament,2012-07-29 00:00:00.000,2012-08-12 00:00:00.000,Sports,London,12000
http://www.wikidata.org/entity/Q843846,water polo at the 2012 Summer Olympics — women's tournament,2012-07-30 00:00:00.000,2012-08-09 00:00:00.000,Sports,London,12000
http://www.wikidata.org/entity/Q939000,cycling at the 2012 Summer Olympics — women's road time trial,2012-08-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,180000
http://www.wikidata.org/entity/Q2000988,athletics at the 2012 Summer Olympics — women's marathon,2012-08-05 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,80000
http://www.wikidata.org/entity/Q1064845,swimming at the 2012 Summer Olympics — women's marathon 10 kilometre,2012-08-09 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,12000
http://www.wikidata.org/entity/Q2268451,swimming at the 2012 Summer Olympics — men's marathon 10 kilometre,2012-08-10 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,12000
http://www.wikidata.org/entity/Q1798983,athletics at the 2012 Summer Olympics — men's marathon,2012-08-12 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,80000
http://www.wikidata.org/entity/Q13415317,2013 Aegon Championships,2013-06-08 00:00:00.000,2013-06-16 00:00:00.000,Sports,London,97000
http://www.wikidata.org/entity/Q559726,2013 Wimbledon Championships,2013-06-24 00:00:00.000,2013-07-07 00:00:00.000,Sports,London,490000
http://www.wikidata.org/entity/Q16969058,2014 Aegon Championships,2014-06-09 00:00:00.000,2014-06-15 00:00:00.000,Sports,London,97000
http://www.wikidata.org/entity/Q15854765,2014 Wimbledon Championships,2014-06-23 00:00:00.000,2014-07-06 00:00:00.000,Sports,London,490000
http://www.wikidata.org/entity/Q124540980,"Joly Braga Santos Piano Concerto Op. 52, London, 6 June 2015",2015-06-06 00:00:00.000,2015-06-06 00:00:00.000,Music,London,1800
http://www.wikidata.org/entity/Q19870230,2015 Aegon Championships,2015-06-15 00:00:00.000,2015-06-21 00:00:00.000,Sports,London,97000
http://www.wikidata.org/entity/Q18410121,2015 Wimbledon Championships,2015-06-29 00:00:00.000,2015-07-12 00:00:00.000,Sports,London,490000
http://www.wikidata.org/entity/Q20405792,2015 Saudi Super Cup,2015-08-12 00:00:00.000,2099-12-31 00:00:00.000,Sports,London,12000
http://www.wikidata.org/entity/Q124030508,Muse at The O2 Arena 2016,2016-01-01 00:00:00.000,2016-01-01 00:00:00.000,Music,London,20000
http://www.wikidata.org/entity/Q25385902,ESL Pro League Season 3,2016-02-09 00:00:00.000,2016-05-15 00:00:00.000,Sports,London,14500
http://www.wikidata.org/entity/Q48837874,ESL Pro League Season 2,2016-02-09 00:00:00.000,2016-05-15 00:00:00.000,Sports,London,14500
http://www.wikidata.org/entity/Q24262960,2016 Aegon Championships,2016-06-13 00:00:00.000,2016-06-19 00:00:00.000,Sports,London,97000
http://www.wikidata.org/entity/Q20127632,2016 Wimbledon Championships,2016-06-27 00:00:00.000,2016-07-10 00:00:00.000,Sports,London,490000
http://www.wikidata.org/entity/Q4618936,2010 World Lacrosse Championship,2010-07-15 00:00:00.000,2010-07-24 00:00:00.000,Sports,Manchester,8500
http://www.wikidata.org/entity/Q42305826,QED,2011-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,Manchester,1200
http://www.wikidata.org/entity/Q4707938,Alan Turing Centenary Conference,2012-06-22 00:00:00.000,2012-06-25 00:00:00.000,Sports,Manchester,800
http://www.wikidata.org/entity/Q20806161,2013 World Taekwondo Grand Prix,2013-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,Manchester,4500
http://www.wikidata.org/entity/Q24883365,2012 IQA Summer Games,2012-01-01 00:00:00.000,2099-12-31 00:00:00.000,Sports,Oxford,3000
http://www.wikidata.org/entity/Q19689766,European Quidditch Cup 2015,2015-04-18 00:00:00.000,2015-04-19 00:00:00.000,Sports,Oxford,2500
